PLAYER_ID,SEASON,MVP_class
920,1996-97,0
243,1996-97,0
1425,1996-97,0
768,1996-97,0
228,1996-97,0
154,1996-97,0
673,1996-97,0
1059,1996-97,0
275,1996-97,0
947,1996-97,0
297,1996-97,0
175,1996-97,0
1043,1996-97,0
692,1996-97,0
457,1996-97,0
358,1996-97,0
924,1996-97,0
193,1996-97,0
292,1996-97,0
324,1996-97,0
156,1996-97,0
952,1996-97,0
213,1996-97,0
176,1996-97,0
226,1996-97,0
686,1996-97,0
288,1996-97,0
717,1996-97,0
732,1996-97,0
422,1996-97,0
769,1996-97,0
989,1996-97,0
1112,1996-97,0
104,1996-97,0
82,1996-97,0
182,1996-97,0
902,1996-97,0
183,1996-97,0
898,1996-97,0
448,1996-97,0
682,1996-97,0
310,1996-97,0
184,1996-97,0
38,1996-97,0
699,1996-97,0
85,1996-97,0
1064,1996-97,0
1136,1996-97,0
967,1996-97,0
258,1996-97,0
216,1996-97,0
240,1996-97,0
1477,1996-97,0
735,1996-97,0
179,1996-97,0
935,1996-97,0
433,1996-97,0
2,1996-97,0
384,1996-97,0
61,1996-97,0
1063,1996-97,0
435,1996-97,0
76,1996-97,0
787,1996-97,0
279,1996-97,0
891,1996-97,0
293,1996-97,0
369,1996-97,0
685,1996-97,0
713,1996-97,0
164,1996-97,0
201,1996-97,0
423,1996-97,0
1137,1996-97,0
168,1996-97,0
356,1996-97,0
904,1996-97,0
997,1996-97,0
185,1996-97,0
43,1996-97,0
363,1996-97,0
359,1996-97,0
221,1996-97,0
361,1996-97,0
32,1996-97,0
17,1996-97,0
916,1996-97,0
722,1996-97,0
724,1996-97,0
378,1996-97,0
733,1996-97,0
905,1996-97,0
107,1996-97,0
757,1996-97,0
105,1996-97,0
7,1996-97,0
344,1996-97,0
198,1996-97,0
330,1996-97,0
353,1996-97,0
239,1996-97,0
241,1996-97,0
1032,1996-97,0
764,1996-97,0
710,1996-97,0
133,1996-97,0
766,1996-97,0
116,1996-97,0
1051,1996-97,0
244,1996-97,0
209,1996-97,0
725,1996-97,0
23,1996-97,0
192,1996-97,0
965,1996-97,0
157,1996-97,0
400,1996-97,0
308,1996-97,0
934,1996-97,0
365,1996-97,0
96,1996-97,0
1070,1996-97,0
1121,1996-97,0
54,1996-97,0
87,1996-97,0
129,1996-97,0
1122,1996-97,0
931,1996-97,0
690,1996-97,0
140,1996-97,0
1126,1996-97,0
671,1996-97,0
681,1996-97,0
112,1996-97,0
923,1996-97,0
57,1996-97,0
77,1996-97,0
28,1996-97,0
190,1996-97,0
273,1996-97,0
368,1996-97,0
940,1996-97,0
709,1996-97,0
291,1996-97,0
698,1996-97,0
224,1996-97,0
922,1996-97,0
695,1996-97,0
386,1996-97,0
1120,1996-97,0
771,1996-97,0
1023,1996-97,0
941,1996-97,0
287,1996-97,0
211,1996-97,0
376,1996-97,0
785,1996-97,0
15,1996-97,0
727,1996-97,0
677,1996-97,0
956,1996-97,0
1065,1996-97,0
911,1996-97,0
1026,1996-97,0
280,1996-97,0
783,1996-97,0
701,1996-97,0
697,1996-97,0
122,1996-97,0
202,1996-97,0
56,1996-97,0
718,1996-97,0
1093,1996-97,0
248,1996-97,0
45,1996-97,0
678,1996-97,0
786,1996-97,0
49,1996-97,0
779,1996-97,0
299,1996-97,0
255,1996-97,1
3,1996-97,0
246,1996-97,0
21,1996-97,0
1068,1996-97,0
323,1996-97,0
37,1996-97,0
65,1996-97,0
731,1996-97,0
165,1996-97,0
265,1996-97,0
906,1996-97,0
1080,1996-97,0
1006,1996-97,0
765,1996-97,0
270,1996-97,0
1024,1996-97,0
73,1996-97,0
458,1996-97,0
93,1996-97,0
1134,1996-97,0
375,1996-97,0
1096,1996-97,0
917,1996-97,0
147,1996-97,0
469,1996-97,0
381,1996-97,0
1109,1996-97,0
994,1996-97,0
320,1996-97,0
1114,1996-97,0
679,1996-97,0
467,1996-97,0
987,1996-97,0
420,1996-97,0
